words,rank,title,h1,snippet,links,total_result,website_score,keyword_score,content_score
Artificial intelligence,11,Access denied | builtin.com used Cloudflare to restrict access,"
Error
1020
",This website is using a security service to protect itself from online attacks.,https://builtin.com/artificial-intelligence,776000000.0,81,22,58
Artificial intelligence,12,"artificial intelligence | Definition, Examples, and Applications | Britannica",Artificial intelligence,Our editors will review what you’ve submitted and determine whether to revise the article.,https://www.britannica.com/technology/artificial-intelligence,776000000.0,83,29,72
Artificial intelligence,13,Benefits & Risks of Artificial Intelligence - Future of Life Institute,Benefits & Risks of Artificial Intelligence,"“Everything we love about civilization is a product of intelligence, so amplifying our human intelligence with artificial intelligence has the potential of helping civilization flourish like never before – as long as we manage to keep the technology beneficial.“",https://futureoflife.org/background/benefits-risks-of-artificial-intelligence/,776000000.0,88,21,54
Artificial intelligence,14,Artificial Intelligence – What it is and why it matters | SAS,Artificial Intelligence,Skip to main content,https://www.sas.com/en_us/insights/analytics/what-is-artificial-intelligence.html,776000000.0,77,5,65
Artificial intelligence,15,Association for the Advancement of Artificial Intelligence,Association for the Advancement of Artificial Intelligence, ,https://www.aaai.org/,776000000.0,62,24,73
Artificial intelligence,16,What is Artificial Intelligence (AI)?  | IBM,"  Artificial Intelligence (AI)
","While a number of definitions of artificial intelligence (AI) have surfaced over the last few decades, John McCarthy offers the following definition in this 2004 paper (PDF, 106 KB) (link resides outside IBM), "" It is the science and engineering of making intelligent machines, especially intelligent computer programs. It is related to the similar task of using computers to understand human intelligence, but AI does not have to confine itself to methods that are biologically observable.""",https://www.ibm.com/cloud/learn/what-is-artificial-intelligence,776000000.0,78,15,68
Artificial intelligence,17,What is AI? Everything you need to know about Artificial Intelligence | ZDNet,What is AI? Everything you need to know about Artificial Intelligence,"An executive guide to artificial intelligence, from machine learning and general AI to neural networks.",https://www.zdnet.com/article/what-is-ai-everything-you-need-to-know-about-artificial-intelligence/,776000000.0,73,20,60
Artificial intelligence,18,What is artificial intelligence?,What is artificial intelligence?,Guidance for the Brookings community and the public on our response to the coronavirus (COVID-19) »,https://www.brookings.edu/research/what-is-artificial-intelligence/,776000000.0,61,5,78
Artificial intelligence,19,What is Artificial Intelligence (AI)?,artificial intelligence ,"Artificial intelligence (AI) is the simulation of human intelligence processes by machines, especially computer systems. Specific applications of AI include expert systems, natural language processing (NLP), speech recognition and machine vision.",https://searchenterpriseai.techtarget.com/definition/AI-Artificial-Intelligence,776000000.0,60,8,84
Artificial intelligence,20,"
Artificial Intelligence (Stanford Encyclopedia of Philosophy)
",Artificial Intelligence,"
Artificial intelligence (AI) is the field devoted to building
artificial animals (or at least artificial creatures that – in
suitable contexts – appear to be animals) and, for
many, artificial persons (or at least artificial creatures that
– in suitable contexts – appear to be
 persons).[1]
 Such goals immediately ensure that AI is a discipline of considerable
interest to many philosophers, and this has been confirmed (e.g.) by
the energetic attempt, on the part of numerous philosophers, to show
that these goals are in fact un/attainable. On the constructive side,
many of the core formalisms and techniques used in AI come out of, and
are indeed still much used and refined in, philosophy: first-order
logic and its extensions; intensional logics suitable for the modeling
of doxastic attitudes and deontic reasoning; inductive logic,
probability theory, and probabilistic reasoning; practical reasoning
and planning, and so on. In light of this, some philosophers conduct
AI research and development as philosophy. ",https://plato.stanford.edu/entries/artificial-intelligence/,776000000.0,62,16,95
Artificial intelligence,21,"What is Artificial Intelligence? How Does AI Work, Applications and Future?","What is Artificial Intelligence? How does AI work, Types and Future of it?","The intelligence demonstrated by machines is known as Artificial Intelligence. Artificial Intelligence has grown to be very popular in today’s world. It is the simulation of natural intelligence in machines that are programmed to learn and mimic the actions of humans. These machines are able to learn with experience and perform human-like tasks. As technologies such as AI continue to grow, they will have a great impact on our quality of life. It’s but natural that everyone today wants to connect with AI technology somehow, may it be as an end-user or pursuing a career in Artificial Intelligence.",https://www.mygreatlearning.com/blog/what-is-artificial-intelligence/,776000000.0,66,30,69
Artificial intelligence,22,Artificial Intelligence - Journal - Elsevier,Artificial Intelligence,"
                    Once production of your article has started, you can track the status of your article via Track Your Accepted Article.
",https://www.journals.elsevier.com/artificial-intelligence,776000000.0,67,14,89
Artificial intelligence,23,Learn Artificial Intelligence with Online Courses and Lessons | edX,Artificial Intelligence Courses,"Explore the fascinating and fast-moving field of artificial intelligence with online courses. Learn artificial intelligence by studying natural language processing, reinforcement learning, predictive analytics, deep neural networks, image processing, the human brain, and more today!",https://www.edx.org/learn/artificial-intelligence,776000000.0,76,12,91
Artificial intelligence,24,How artificial intelligence is transforming the world,How artificial intelligence is transforming the world,Guidance for the Brookings community and the public on our response to the coronavirus (COVID-19) »,https://www.brookings.edu/research/how-artificial-intelligence-is-transforming-the-world/,776000000.0,79,6,83
Artificial intelligence,25,A.I. Artificial Intelligence - Wikipedia,A.I. Artificial Intelligence,"
",https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence,776000000.0,60,12,50
Classification,1,Classification | Definition of Classification by Merriam-Webster,classification,,https://www.merriam-webster.com/dictionary/classification,901000000.0,77,23,92
Classification,2,Classification - Wikipedia,Classification,"Classification is a process related to categorization, the process in which ideas and objects are recognized, differentiated and understood. See Classification (general theory)
",https://en.wikipedia.org/wiki/Classification,901000000.0,66,7,85
Classification,3,Statistical classification - Wikipedia,Statistical classification,"In statistics, classification is the problem of identifying to which of a set of categories (sub-populations) an observation, (or observations) belongs to.  Examples are assigning a given email to the ""spam"" or ""non-spam"" class, and assigning a diagnosis to a given patient based on observed characteristics of the patient (sex, blood pressure, presence or absence of certain symptoms, etc.).
",https://en.wikipedia.org/wiki/Statistical_classification,901000000.0,82,7,69
Classification,4,Classification (general theory) - Wikipedia,Classification (general theory),"The term classification can apply to one or all of:
",https://en.wikipedia.org/wiki/Classification_(general_theory),901000000.0,80,28,92
Classification,5,Document classification - Wikipedia,Document classification,"Document classification or document categorization is a problem in library science, information science and computer science. The task is to assign a document to one or more classes or categories. This may be done ""manually"" (or ""intellectually"") or algorithmically. The intellectual classification of documents has mostly been the province of library science, while the algorithmic classification of documents is mainly in information science and computer science. The problems are overlapping, however, and there is therefore interdisciplinary research on document classification.
",https://en.wikipedia.org/wiki/Document_classification,901000000.0,82,20,56
Classification,6,Medical classification - Wikipedia,Medical classification,"A medical classification is used to transform descriptions of medical diagnoses or procedures into standardized statistical code in a process known as clinical coding. Diagnosis classifications list diagnosis codes, which are used to track diseases and other health conditions, inclusive of chronic diseases such as diabetes mellitus and heart disease, and infectious diseases such as norovirus, the flu, and athlete's foot. Procedure classifications list procedure code, which are used to capture interventional data. These diagnosis and procedure codes are used by health care providers, government health programs, private health insurance companies, workers' compensation carriers, software developers, and others for a variety of applications in medicine, public health and medical informatics, including:
",https://en.wikipedia.org/wiki/Medical_classification,901000000.0,77,7,58
Classification,7,CLASSIFICATION | meaning in the Cambridge English Dictionary,Meaning of classification in English,Your browser doesn't support HTML5 audio,https://dictionary.cambridge.org/dictionary/english/classification,901000000.0,73,29,66
Classification,8,Classification | biology | Britannica,Classification,Our editors will review what you’ve submitted and determine whether to revise the article.,https://www.britannica.com/science/classification-biology,901000000.0,67,22,57
Classification,9,Classification - YouTube,h1 not found,Snippet not found,https://www.youtube.com/watch?v=DVouQRAKxYo,901000000.0,74,29,56
Classification,10,Classification | Definition of Classification at Dictionary.com,classification,"This week, we’re looking at the latest developments in the battle over the classification of gig workers, the rise of labor unions in tech and and Instagram’s latest move to be woke.",https://www.dictionary.com/browse/classification,901000000.0,78,9,85
Classification,11,Classification definition and meaning | Collins English Dictionary,Definition of 'classification',"
View usage for:

All Years
Last 10 years
Last 50 years
Last 100 years
Last 300 years

",https://www.collinsdictionary.com/dictionary/english/classification,901000000.0,68,9,59
Classification,12,CLASSIFICATION Synonyms: 45 Synonyms & Antonyms for CLASSIFICATION | Thesaurus.com,classification,See how your sentence looks with different synonyms.,https://www.thesaurus.com/browse/classification,901000000.0,85,26,67
Classification,13,Classification - BrainPOP,h1 not found,Snippet not found,https://www.brainpop.com/science/diversityoflife/classification/,901000000.0,87,20,68
Classification,14,"
	Classifications
",Classifications,"How healthy is the world?  ­­How are people getting sick, and how do they die?  How is the health system responding?",https://www.who.int/standards/classifications,901000000.0,60,22,88
Classification,15,American Economic Association: JEL Codes,,"Copyright 2021 American Economic Association. All
    rights reserved.",https://www.aeaweb.org/econlit/jelCodes.php,901000000.0,84,10,63
Classification,16,What is classification? - BBC Bitesize,What is classification?,,https://www.bbc.co.uk/bitesize/topics/zn22pv4/articles/z3nbcwx,901000000.0,85,13,95
Classification,17,Nice Classification,List of Goods and Services in Class Order,"
NCLPUB v3.2.31
                        ",https://www.wipo.int/classifications/nice/nclpub,901000000.0,65,21,71
Classification,18,Standard Industrial Classification (SIC) System Search | Occupational Safety and Health Administration,"
Department of Labor logo
UNITED STATESDEPARTMENT OF LABOR","
English
Español
",https://www.osha.gov/data/sic-search,901000000.0,82,24,63
Classification,19,Machine Learning Classifiers. What is classification? | by Sidath Asiri | Towards Data Science,Machine Learning Classifiers,Sign in,https://towardsdatascience.com/machine-learning-classifiers-a5cc4e1b0623,901000000.0,73,18,93
Classification,20,Classifications - Eurostat,Navigation,A wide range of statistical classifications or nomenclatures is used on a European level. The application of specific classifications depends on the statistical domain or data collection.,https://ec.europa.eu/eurostat/data/classifications,901000000.0,70,11,90
Classification,21,Safer and Cleaner Shipping - IACS,Safer and Cleaner Shipping,"Urgent Rule Change Proposal 1 (URCP 1) to the Common Structural Rules (CSR for BC & OT), 01 January 2021 version has been released by the International Association of Classification Societies (IACS).",https://www.iacs.org.uk/,901000000.0,68,22,66
Classification,22,North American Industry Classification System (NAICS) U.S. Census Bureau,"
                North American Industry Classification System - NAICS
","The North American Industry Classification System (NAICS) is the standard used by Federal
                        statistical
                        agencies in classifying business establishments for the purpose of collecting, analyzing, and
                        publishing
                        statistical data related to the U.S. business economy.",https://www.census.gov/naics,901000000.0,64,29,82
Classification,23,4 Types of Classification Tasks in Machine Learning,4 Types of Classification Tasks in Machine Learning,"Last Updated on August 19, 2020",https://machinelearningmastery.com/types-of-classification-in-machine-learning/,901000000.0,66,28,81
Classification,24,Home | BBFC,,"Here is a rough guide for parents, focusing on the most common words that are likely to be acceptable at U, PG and 12A/12.",https://www.bbfc.co.uk/,901000000.0,90,27,66
Classification,25,Carnegie Classifications | Home Page,News & Announcements,"

The Carnegie Classification of Institutions of Higher Education ®
The Carnegie Classification of Institutions ®
Carnegie Classification ®

",https://carnegieclassifications.iu.edu/,901000000.0,84,11,53
Clustering,1,Clustering | Types Of Clustering | Clustering Applications,An Introduction to Clustering and different methods of clustering,,https://www.analyticsvidhya.com/blog/2016/11/an-introduction-to-clustering-and-different-methods-of-clustering/?sa=X&ved=2ahUKEwikisKi043xAhVEyzgGHV_iAOwQ9QF6BAgbEAI,47700000.0,70,27,55
Clustering,2,Clustering | Types Of Clustering | Clustering Applications,An Introduction to Clustering and different methods of clustering,,https://www.analyticsvidhya.com/blog/2016/11/an-introduction-to-clustering-and-different-methods-of-clustering/,47700000.0,63,14,90
Clustering,3,Cluster analysis - Wikipedia,Cluster analysis,"Cluster analysis or clustering is the task of grouping a set of objects in such a way that objects in the same group (called a cluster) are more similar (in some sense) to each other than to those in other groups (clusters). It is a main task of exploratory data analysis, and a common technique for statistical data analysis, used in many fields, including pattern recognition, image analysis, information retrieval, bioinformatics, data compression, computer graphics and machine learning.
",https://en.wikipedia.org/wiki/Cluster_analysis,47700000.0,62,17,77
Clustering,4,Hierarchical clustering - Wikipedia,Hierarchical clustering,"In data mining and statistics, hierarchical clustering (also called hierarchical cluster analysis or HCA) is a method of cluster analysis which seeks to build a hierarchy of clusters. Strategies for hierarchical clustering generally fall into two types:[1]
",https://en.wikipedia.org/wiki/Hierarchical_clustering,47700000.0,72,26,67
Clustering,5,DBSCAN - Wikipedia,DBSCAN,"Density-based spatial clustering of applications with noise (DBSCAN) is a data clustering algorithm proposed by Martin Ester, Hans-Peter Kriegel, Jörg Sander and Xiaowei Xu in 1996.[1]
It is a density-based clustering non-parametric algorithm: given a set of points in some space, it groups together points that are closely packed together (points with many nearby neighbors), marking as outliers points that lie alone in low-density regions (whose nearest neighbors are too far away).
DBSCAN is one of the most common clustering algorithms and also most cited in scientific literature.[2]
",https://en.wikipedia.org/wiki/DBSCAN,47700000.0,63,25,52
Clustering,6,OPTICS algorithm - Wikipedia,OPTICS algorithm,"Ordering points to identify the clustering structure (OPTICS) is an algorithm for finding density-based[1] clusters in spatial data. It was presented by Mihael Ankerst, Markus M. Breunig, Hans-Peter Kriegel and Jörg Sander.[2]
Its basic idea is similar to DBSCAN,[3] but it addresses one of DBSCAN's major weaknesses: the problem of detecting meaningful clusters in data of varying density. To do so, the points of the database are (linearly) ordered such that spatially closest points become neighbors in the ordering. Additionally, a special distance is stored for each point that represents the density that must be accepted for a cluster so that both points belong to the same cluster. This is represented as a dendrogram.
",https://en.wikipedia.org/wiki/OPTICS_algorithm,47700000.0,71,16,50
Clustering,7,Category:Cluster analysis algorithms - Wikipedia,Category:Cluster analysis algorithms,"This category contains algorithms used for cluster analysis.
",https://en.wikipedia.org/wiki/Category:Cluster_analysis_algorithms,47700000.0,87,19,71
Clustering,8,Clustering in Machine Learning - GeeksforGeeks,h1 not found,Introduction to Clustering,https://www.geeksforgeeks.org/clustering-in-machine-learning/,47700000.0,71,21,58
Clustering,9,The 5 Clustering Algorithms Data Scientists Need to Know | by George Seif | Towards Data Science,The 5 Clustering Algorithms Data Scientists Need to Know,Sign in,https://towardsdatascience.com/the-5-clustering-algorithms-data-scientists-need-to-know-a36d136ef68,47700000.0,79,19,90
Clustering,10,2.3. Clustering — scikit-learn 0.24.2 documentation,2.3. Clustering¶,"
scikit-learn 0.24.2
Other versions
",http://scikit-learn.org/stable/modules/clustering.html,47700000.0,68,8,66
Clustering,11,10 Clustering Algorithms With Python,10 Clustering Algorithms With Python,"Last Updated on August 20, 2020",https://machinelearningmastery.com/clustering-algorithms-with-python/,47700000.0,85,12,60
Clustering,12,Clustering in Machine Learning - Javatpoint,Clustering in Machine Learning,"Clustering or cluster analysis is a machine learning technique, which groups the unlabelled dataset. It can be defined as ""A way of grouping the data points into different clusters, consisting of similar data points. The objects with the possible similarities remain in a group that has less or no similarities with another group.""",https://www.javatpoint.com/clustering-in-machine-learning,47700000.0,61,12,78
Clustering,13,Machine Learning — Clustering ( Kümeleme )— K-Means Algorithm —Hierarchical Clustering ( Hiyerarşik Kümeleme )— Part 13 | by Ekrem Hatipoglu | Medium,Machine Learning — Clustering ( Kümeleme )— K-Means Algorithm —Hierarchical Clustering ( Hiyerarşik Kümeleme )— Part 13,Sign in,https://medium.com/@ekrem.hatipoglu/machine-learning-clustering-k%C3%BCmeleme-k-means-algorithm-part-13-be33aeef4fc8,47700000.0,83,7,85
Clustering,14,Clustering - PyCaret,Clustering Module,"This documentation is only updated for major releases. To see the most recent documentation, Click Here",https://pycaret.org/clustering/,47700000.0,74,15,95
Clustering,15,CS221,h1 not found,"
				Written by Chris Piech. Based on a handout by Andrew Ng.
			",https://stanford.edu/~cpiech/cs221/handouts/kmeans.html,47700000.0,77,5,77
Clustering,16,5 Clustering | Modern Statistics for Modern Biology,"
5 Clustering",Modern Statistics for Modern Biology,https://web.stanford.edu/class/bios221/book/Chap-Clustering.html,47700000.0,63,23,85
Clustering,17,k-means clustering - MATLAB kmeans,kmeans,DocumentationHelp CenterDocumentation,https://www.mathworks.com/help/stats/kmeans.html,47700000.0,89,22,50
Clustering,18,Cluster Analysis and Clustering Algorithms - MATLAB & Simulink,"
				
				Cluster Analysis
			","Cluster analysis involves applying clustering algorithms with the goal of finding hidden patterns or groupings in a dataset. It is therefore used frequently in exploratory data analysis, but is also used for anomaly detection and preprocessing for supervised learning.",https://www.mathworks.com/discovery/cluster-analysis.html,47700000.0,72,12,57
Clustering,19,"Clustering Algorithms: K-Means, EMC and Affinity Propagation | Toptal",Clustering Algorithms: From Start To State Of The Art,"It’s not a bad time to be a Data Scientist. Serious people may find interest in you if you turn the conversation towards “Big Data”, and the rest of the party crowd will be intrigued when you mention “Artificial Intelligence” and “Machine Learning”. Even Google thinks you’re not bad, and that you’re getting even better. There are a lot of ‘smart’ algorithms that help data scientists do their wizardry. It may all seem complicated, but if we understand and organize algorithms a bit, it’s not even that hard to find and apply the one that we need.",https://www.toptal.com/machine-learning/clustering-algorithms,47700000.0,62,23,54
Clustering,20,Clustering methods for large molecular library screening | Pharmacelera,Clustering methods for large molecular library screening,"Today, the amount of data generated in many fields such as engineering, social sciences or medicine is suffering a tremendous scale-up. Extraction of relevant information is hence becoming increasingly challenging, and methods of data analysis such as clustering are now crucial. Clustering consists on the identification of homogeneous subgroups among a set of heterogeneous items. In the context of computer-aided drug discovery, where the chemical space is estimated to be 1063 compounds, we can use it to select promising subgroups inside a large chemical library, getting rid of the bulk of the dataset with either no medical interest or redundancy a priori.",https://new.pharmacelera.com/science/clustering-methods-big-library-screening/,47700000.0,77,12,94
Clustering,21,Introduction to Clustering - YouTube,h1 not found,Snippet not found,https://www.youtube.com/watch?v=4cxVDUybHrI,47700000.0,69,5,59
Clustering,22,Cluster Validation Statistics: Must Know Methods - Datanovia,Cluster Validation Essentials,  30 mins ,https://www.datanovia.com/en/lessons/cluster-validation-statistics-must-know-methods/,47700000.0,86,7,84
Clustering,23," Clustering Guide
 — RabbitMQ"," Clustering Guide
",This guide covers fundamental topics related to RabbitMQ clustering:,https://www.rabbitmq.com/clustering.html,47700000.0,80,27,52
Clustering,24,Clustering - Introduction,h1 not found,"A Tutorial 
    on Clustering Algorithms",https://matteucci.faculty.polimi.it/Clustering/tutorial_html/index.html,47700000.0,79,25,73
Clustering,25,  What is Hierarchical Clustering? - KDnuggets,KDnuggets,"
     The article contains a brief introduction to various concepts related to Hierarchical clustering algorithm.
  ",https://www.kdnuggets.com/2019/09/hierarchical-clustering.html,47700000.0,88,6,87
Convolutional neural network,1,A Comprehensive Guide to Convolutional Neural Networks — the ELI5 way | by Sumit Saha | Towards Data Science,A Comprehensive Guide to Convolutional Neural Networks — the ELI5 way,Sign in,https://towardsdatascience.com/a-comprehensive-guide-to-convolutional-neural-networks-the-eli5-way-3bd2b1164a53,9430000.0,87,12,85
Convolutional neural network,2,Convolutional neural network - Wikipedia,Convolutional neural network,"In deep learning, a convolutional neural network (CNN, or ConvNet) is a class of deep neural network, most commonly applied to analyze visual imagery.[1] They are also known as shift invariant or space invariant artificial neural networks (SIANN), based on the shared-weight architecture of the convolution kernels or filters that slide along input features and provide translation equivariant responses known as feature maps.[2][3]  Counter-intuitively, most convolutional neural networks are only equivariant, as opposed to invariant, to translation.[4] They have applications in image and video recognition, recommender systems,[5] image classification, image segmentation, medical image analysis, natural language processing,[6] brain-computer interfaces,[7] and financial time series.[8]
",https://en.wikipedia.org/wiki/Convolutional_neural_network,9430000.0,71,7,59
Convolutional neural network,3,Multilayer perceptron - Wikipedia,Multilayer perceptron,"A multilayer perceptron (MLP) is a class of feedforward artificial neural network (ANN). The term MLP is used ambiguously, sometimes loosely to any feedforward ANN, sometimes strictly to refer to networks composed of multiple layers of perceptrons (with threshold activation); see § Terminology. Multilayer perceptrons are sometimes colloquially referred to as ""vanilla"" neural networks, especially when they have a single hidden layer.[1]
",https://en.wikipedia.org/wiki/Multilayer_perceptron,9430000.0,78,6,77
Convolutional neural network,4,Equivariant map - Wikipedia,Equivariant map,"In mathematics, equivariance is a form of symmetry for functions from one space with symmetry to another (such as symmetric spaces). A function is said to be an equivariant map when its domain and codomain are acted on by the same symmetry group, and when the function commutes with the action of the group. That is, applying a symmetry transformation and then computing the function produces the same result as computing the function and then applying the transformation.
",https://en.wikipedia.org/wiki/Equivariant_map,9430000.0,66,15,58
Convolutional neural network,5,LeNet - Wikipedia,LeNet,"LeNet is a convolutional neural network structure proposed by Yann LeCun et al. in 1989. In general, LeNet refers to LeNet-5 and is a simple convolutional neural network. Convolutional neural networks are a kind of feed-forward neural network whose artificial neurons can respond to a part of the surrounding cells in the coverage range and perform well in large-scale image processing.
",https://en.wikipedia.org/wiki/LeNet,9430000.0,82,7,52
Convolutional neural network,6,Receptive field - Wikipedia,Receptive field,"The receptive field, or sensory space, is a delimited medium where some physiological stimuli can evoke a sensory neuronal response in specific organisms.[1]
",https://en.wikipedia.org/wiki/Receptive_field,9430000.0,62,21,69
Convolutional neural network,7,CS231n Convolutional Neural Networks for Visual Recognition,,Table of Contents:,https://cs231n.github.io/convolutional-networks/,9430000.0,61,12,73
Convolutional neural network,8,CS231n Convolutional Neural Networks for Visual Recognition,,Table of Contents:,https://cs231n.github.io/convolutional-networks/#layers,9430000.0,81,13,52
Convolutional neural network,9,CS231n Convolutional Neural Networks for Visual Recognition,,Table of Contents:,https://cs231n.github.io/convolutional-networks/#conv,9430000.0,67,26,72
Convolutional neural network,10,CS231n Convolutional Neural Networks for Visual Recognition,,Table of Contents:,https://cs231n.github.io/convolutional-networks/#pool,9430000.0,84,20,63
Convolutional neural network,11,CS231n Convolutional Neural Networks for Visual Recognition,,Table of Contents:,https://cs231n.github.io/convolutional-networks/#architectures,9430000.0,69,11,93
Convolutional neural network,12,What are convolutional neural networks (CNN)? – TechTalks,What are convolutional neural networks (CNN)?,"This article is part of Demystifying AI, a series of posts that (try to) disambiguate the jargon and myths surrounding AI.",https://bdtechtalks.com/2020/01/06/convolutional-neural-networks-cnn-convnets/,9430000.0,62,22,65
Convolutional neural network,13,How Do Convolutional Layers Work in Deep Learning Neural Networks?,How Do Convolutional Layers Work in Deep Learning Neural Networks?,"Last Updated on April 17, 2020",https://machinelearningmastery.com/convolutional-layers-for-deep-learning-neural-networks/,9430000.0,87,9,92
Convolutional neural network,14,CNN for Deep Learning | Convolutional Neural Networks (CNN),Convolutional Neural Networks (CNN),,https://www.analyticsvidhya.com/blog/2021/05/convolutional-neural-networks-cnn/,9430000.0,67,28,56
Convolutional neural network,15,Convolutional Neural Network - an overview | ScienceDirect Topics,Convolutional Neural Network,"CNN is well-known for robustness to small inputs variations, minimal pre-processing and no requirement for any specific feature extractor choice.",https://www.sciencedirect.com/topics/engineering/convolutional-neural-network,9430000.0,87,23,72
Convolutional neural network,16,CS 230 - Convolutional Neural Networks Cheatsheet,"
Convolutional Neural Networks cheatsheet
  Star
",Shervine Amidi,https://stanford.edu/~shervine/teaching/cs-230/cheatsheet-convolutional-neural-networks,9430000.0,63,23,85
Convolutional neural network,17,What are Convolutional Neural Networks?  | IBM,"  Convolutional Neural Networks
","To reiterate from the Neural Networks Learn Hub article, neural networks are a subset of machine learning, and they are at the heart of deep learning algorithms. They are comprised of node layers, containing an input layer, one or more hidden layers, and an output layer. Each node connects to another and has an associated weight and threshold. If the output of any individual node is above the specified threshold value, that node is activated, sending data to the next layer of the network. Otherwise, no data is passed along to the next layer of the network.",https://www.ibm.com/cloud/learn/convolutional-neural-networks,9430000.0,72,20,76
Convolutional neural network,18,Convolutional Neural Network - MATLAB & Simulink,"
				
				Convolutional Neural Networks
			", ,https://www.mathworks.com/discovery/convolutional-neural-network-matlab.html,9430000.0,68,12,89
Convolutional neural network,19,Convolutional Neural Networks | Coursera,Convolutional Neural Networks,This course is part of the Deep Learning Specialization,https://www.coursera.org/learn/convolutional-neural-networks,9430000.0,74,30,59
Convolutional neural network,20,Convolutional neural networks: an overview and application in radiology | Insights into Imaging | Full Text,Convolutional neural networks: an overview and application in radiology,Advertisement,https://insightsimaging.springeropen.com/articles/10.1007/s13244-018-0639-9,9430000.0,80,20,65
Convolutional neural network,21,Attention Required! | Cloudflare,One more step,"Please stand by, while we are checking your browser...",https://www.datacamp.com/community/tutorials/convolutional-neural-networks-python,9430000.0,86,30,60
Convolutional neural network,22,"Convolutional Neural Network (ConvNet yada CNN) nedir, nasıl çalışır? | by Tuncer Ergin | Medium","Convolutional Neural Network (ConvNet yada CNN) nedir, nasıl çalışır?",Sign in,https://medium.com/@tuncerergin/convolutional-neural-network-convnet-yada-cnn-nedir-nasil-calisir-97a0f5d34cad,9430000.0,71,18,61
Convolutional neural network,23,Understanding of Convolutional Neural Network (CNN) — Deep Learning | by Prabhu | Medium,Understanding of Convolutional Neural Network (CNN) — Deep Learning,Sign in,https://medium.com/@RaghavPrabhu/understanding-of-convolutional-neural-network-cnn-deep-learning-99760835f148,9430000.0,65,11,76
Convolutional neural network,24,Convolutional Neural Networks (CNNs) explained - YouTube,h1 not found,Snippet not found,https://www.youtube.com/watch?v=YRhxdVk_sIs,9430000.0,71,8,51
Convolutional neural network,25,Simple explanation of convolutional neural network | Deep Learning Tutorial 23 (Tensorflow & Python) - YouTube,h1 not found,Snippet not found,https://www.youtube.com/watch?v=zfiSAzpy9NM,9430000.0,71,8,61
